price,market_cap,total_volume,date,nombre,EMA12,EMA26,EMA200,MACD,signal_line,rsi,ROI30,ROI90,ROI180,Histogram
1.0000566196959881,28474568747.89871,2339434620.578091,2023-06-24,USD Coin,0.9999147988502508,0.9999284662330441,1.0001621143951964,-1.3667382793292049e-05,-3.920543933332176e-05,52.90348551803158,4.102241470668757e-05,0.025798610822274276,-0.08288709030442835,2.553805654002971e-05
0.9993691354278263,28458880892.982502,2340850961.552884,2023-06-25,USD Coin,0.9998308506314163,0.9998870343215465,1.0001542240572128,-5.618369013016267e-05,-4.503630849689916e-05,41.174830648045834,-0.02915774278599139,-0.21916560492844733,-0.04465915925528587,-1.1147381633263504e-05
1.0013902083876198,28371551696.06862,4415974585.813046,2023-06-26,USD Coin,1.0000707518246785,0.999998380548663,1.0001665224087593,7.237127601555926e-05,-3.160369997738203e-05,66.4244285834437,0.3196898776483081,-0.003904883788272458,0.07933360225778893,0.00010397497599294128
0.9997389616691447,28225577858.940304,4081252223.316681,2023-06-27,USD Coin,1.0000197071853656,0.9999791643353654,1.0001622680730418,4.0542850000213626e-05,-1.8814199789675258e-05,47.289279171886506,-0.013352271605746844,-0.005977694394593949,-0.062066674715904394,5.935704978988888e-05
0.9996332291820473,28123528987.23448,3018422672.9183006,2023-06-28,USD Coin,0.9999602490310089,0.9999535395091936,1.0001570040044747,6.709521815251307e-06,-1.4725049974129156e-05,46.30376089112521,-0.14651536297522239,-0.07205087454819929,-0.07750815766087338,2.1434571789380463e-05
0.999751589639058,27953686257.36123,3537812928.9264884,2023-06-29,USD Coin,0.9999281475860933,0.999938580259554,1.0001529700306895,-1.0432673460680775e-05,-1.1488016335881035e-05,47.711285660369036,0.0018301098502537497,-0.04789785819688139,-0.08631616222013752,1.0553428752002603e-06
1.0004277565603097,27367221915.429714,4634481661.587951,2023-06-30,USD Coin,1.0000050105052034,0.9999748155410915,1.0001557042250142,3.0194964111940337e-05,-1.7967497625281936e-06,55.41493908024002,-0.011812328339813546,-0.006005092702790796,-0.010313703014597487,3.199171387446853e-05
0.9999204958176465,27391541347.359585,3189112864.128298,2023-07-01,USD Coin,0.9999920082455793,0.9999707918578733,1.0001533638428515,2.121638770602452e-05,6.838948799011331e-06,49.147175898600366,-0.018565397531290995,-0.14468645542922673,-0.03631019755741385,1.437743890701319e-05
0.999777866856763,27389450379.401768,3501780765.1171603,2023-07-02,USD Coin,0.9999590634165307,0.9999565011170504,1.0001496275544328,2.5622994803686794e-06,1.0368172527246915e-05,47.40754328576966,0.009946216774894556,0.04922804987796002,-0.09705971999180651,-7.805873046878236e-06
0.9996720678168218,27689207015.42962,2457411324.200455,2023-07-03,USD Coin,0.9999149102473448,0.9999354319837002,1.0001448757162477,-2.0521736355361142e-05,9.606577687017017e-06,46.01353147059636,-0.0413845658149581,-0.09267115968472363,-0.05978614636687351,-3.012831404237816e-05
1.0001766234786447,27754724322.122437,2457356737.7554617,2023-07-04,USD Coin,0.999955173821391,0.9999532980203627,1.000145191614381,1.8758010282837745e-06,1.605763226017773e-05,53.532281078772925,-0.1496418159192263,0.035203605785967006,-0.00941301354930233,-1.4181831231893957e-05
0.9994019460329421,27662665651.91526,2525737486.458804,2023-07-05,USD Coin,0.9998700618539373,0.9999124571324056,1.000137796135959,-4.239527846827684e-05,3.3057928730848317e-06,42.9381808347892,-0.10545323161468752,-0.07163158810488102,-0.1103658593671361,-4.570107134136167e-05
0.9998217163238048,27577560159.376625,3473150803.481536,2023-07-06,USD Coin,0.9998626240800709,0.9999057355910278,1.0001346510632012,-4.3111510956928e-05,-5.989136122153127e-06,49.22121378167644,-0.05208027236691429,-0.08255535725912178,-0.08927703611153781,-3.7122374834774874e-05
0.9996226772336182,27490882353.583122,1988614691.6895,2023-07-07,USD Coin,0.9998257091806165,0.9998847683052937,1.0001295567962403,-5.905912467718544e-05,-1.3296763510201654e-05,46.4245150461042,-0.017834801094646833,-0.06493161635822652,-0.13150088205522015,-4.5762361166983785e-05
1.0008041924939066,27520618446.83723,1772421349.6871407,2023-07-08,USD Coin,0.9999762450749689,0.9999528738007466,1.000136269589252,2.337127422225027e-05,-9.540769323209316e-06,61.43352827007592,0.15008097373331528,0.04390936638868288,-0.04065374297228754,3.291204354545959e-05
1.0001046407165657,27497914255.73119,1943561718.0909114,2023-07-09,USD Coin,0.9999959982505991,0.9999641157945109,1.000135954874101,3.1882456088205835e-05,-9.353270214735372e-06,51.564673892535566,0.01679161461079171,-0.026398557430754303,-0.008039471886295954,4.1235726302941205e-05
0.9997584590028274,27383207895.857414,3692184853.9190702,2023-07-10,USD Coin,0.999959453750942,0.99994888195809,1.0001321986962772,1.0571792852021034e-05,-1.0536002976291314e-05,47.23223957992701,-0.003922262470649494,-0.06460145287448234,-0.10922800565540572,2.1107795828312348e-05
1.0001135907222654,27372801556.991467,3217984036.151107,2023-07-11,USD Coin,0.9999831671311457,0.9999610826072881,1.000132013542307,2.2084523857546223e-05,-8.366866934382698e-06,52.00539304583979,-0.008912189233793024,0.039237344087042804,0.020220161607939584,3.045139079192892e-05
1.0004904824914704,27274501888.459175,3456263207.275171,2023-07-12,USD Coin,1.0000612156481186,1.0000002974135238,1.0001355803975227,6.091823459475343e-05,6.820187267411429e-07,56.79148632873549,0.013544456540763554,-0.07533813571726045,0.12767607486692945,6.0236215868012285e-05
0.999008057717248,27379899146.055225,7076818919.28328,2023-07-13,USD Coin,0.9998991913510615,0.9999267981767626,1.0001243612663757,-2.760682570102091e-05,-2.593828687626044e-06,39.097052953499755,-0.14220933137751707,-0.15157276882063844,-0.20355441761610574,-2.5012997013394865e-05
1.0001305311518682,27253533176.869637,5621293709.55797,2023-07-14,USD Coin,0.9999347820896471,0.9999418895082519,1.0001244226582713,-7.1074186047681565e-06,1.3270446305415874e-06,52.12824364872195,0.07835444257078249,0.07765820970358768,0.0985770506543125,-8.434463235309745e-06
1.0001223143515736,27284376844.53866,2148548616.200311,2023-07-15,USD Coin,0.9999636332068667,0.9999552543114609,1.0001244016800952,8.378895405725117e-06,7.048200893058601e-06,52.034204372615676,0.0033123994941604154,-0.025497048106450034,-0.010879745188499145,1.330694512666517e-06
1.000003484410393,27220350352.65345,2566908161.57889,2023-07-16,USD Coin,0.9999697641612554,0.9999588269113818,1.0001231985231829,1.0937249873554933e-05,1.4825575843140864e-05,50.51360228470126,0.024491947905266615,0.011954410527062982,0.02014343160852399,-3.888325969585931e-06
0.9990343791043239,27030808524.69555,4976552811.02007,2023-07-17,USD Coin,0.9998258587678813,0.9998903492960441,1.0001123644991146,-6.449052816281942e-05,5.063153355910899e-06,39.61876804458719,-0.0383063082809372,-0.060675600879193825,-0.07146258800970023,-6.955368151873031e-05
1.0008829210333623,27005085335.15107,4694774613.864193,2023-07-18,USD Coin,0.9999884837318014,0.999963873128438,1.000120031728311,2.4610603363339756e-05,4.255169719814668e-06,59.055222440366784,0.13595562041371412,-0.004122384388956863,0.051774669525789574,2.0355433643525088e-05
1.0000508833408068,26981643197.491493,4329006302.57629,2023-07-19,USD Coin,0.9999980836716483,0.9999703183293542,1.0001193436846543,2.7765342294094886e-05,6.165564102267318e-06,50.59662720438802,-0.027560226089864998,-0.02342305861829141,-0.09651729178315804,2.1599778191827568e-05
0.9994675117106031,26923508798.08315,4716924463.255882,2023-07-20,USD Coin,0.9999164572161029,0.9999330733946319,1.0001128577943652,-1.661617852899422e-05,1.8654860593183799e-06,45.34255395423641,-0.029932482415458914,-0.17900126633162125,-0.003736465844837146,-1.84816645883126e-05
